ID,Feed,Sentiment
71,???? ???? ??? ????? ? ???? ??? ??? ?? ????? ??? ???? ?????? ????? ?????.,Negative
72,???? ??? ?? ???? ???? ????? ????? ?? ????? ??? ?? ???????? ?? ??????? ?????,Positive
73,???? ??? ???? ?? ?????????,Negative
74,????? ???? ? ?????? ??? ? ?????? ?? ??? ????? ?????? ??? ? ?? ?? ????? ??? ??? ?????? ????? ??? ???,Positive
75,????? ??? ?????? ????? ?????,Positive
76,???? ?? ??? ????,Negative
77,???? ???? ??? ???? ?? ???? ????? ?? ???? ?? ?????? ?????? ???? ??? ???? ???? ??? ?? ????? ????,Positive
78,??? ???? ?? ?? ?? ????,Negative
79,?????? ???? ????? ??? ????? ?? ????? ??????? ??? ?? ???? ???? ??????,Positive
80,?????? ?????? ?????? ????,Positive
81,???? ??? ???? ?? ??? ??? ??? ???,Negative
82,"???? ????????? ????? ???? ?????? ??????? ?? ???? ?? ??? ????? ??????? ????? ????? ????? ????????",Negative
83,???? ???? ???? ???????,Negative
84,???? ???? ?? ?????? ???? ???? ?? ??????,Negative
85,???? ??? ???? ??? ?????? ?????????,Negative
86,???? ???? ???????? ???? ???? ????? ?????,Negative
87,??????? ?? ?????? ????,Negative
88,???? ???? ?? ????? ?????? ???? ??????? ?????? ?? ?????? ????,Positive
89,???? ?????? ?????,Positive
90,???? ????? ???  ??? ????? ???? ???? ????? ????? ????,Positive
91,????? ????? ??? ???????,Negative
92,????? ????? ???? ???? ??????? ?????,Positive
93,????? ?? ???? ????? ?? ????? ????,Positive
94,??? ???? ??? ???????? ????? ?????? ??? ??? ?????? ??? ????? ?????? ???? ??? ???????? ?????? ???????? ????? ???????,Negative
95,????? ??? ???? ??? ???? ?????? ???? ????,Negative
96,???? ???????? ?? ????,Negative
97,???? ????? ??? ?? ??????? ????? ?? ?????,Positive
98,????? ???? ???? ???? ??? ??????,Positive
99,??????? ????? ???????,Negative
100,????? ??? ???? ???? ?? ??? ???,Positive
101,???? ?????? ?????,Positive
102,????? ?? ??????? ?????,Positive
103,????? ????? ???? ??? ???????,Negative
104,????? ??????? ??? ???? ???? ??? ??? ??????,Negative
105,?????? ??? ???? ??? ??? ??? ????,Negative
106,?????? ?????,Negative
107,???? ????? ?? ????? ???? ?????? ?????,Negative
108,???? ????? ??? ??????,Negative
109,???? ????? ??? ?????? ????? ????? ???? ???? ?????,Negative
110,???? ????? ????,Negative
111,??? ?? ???? ??? ?????? ???? ????,Negative
112,??????? ???? ???? ????? ???? ?????? ????? ??????? ????? ???,Negative
113,???? ????? ???? ????? ???????...?? ?????? ???? ??? ????..??? ???? ??????,Positive
114,"???? ????? ??????? ?? ?????? ? ??? ???? ?? ????? ????? ? ?????? ??? ????",Negative
115,???? ??? ??? ????? ?? ?????? ?? ??????? ??? ?????? ????????? ?? ???? ??? ????? ???? ??? ???? ???? ????? ?? ????,Negative
116,????? ???? ?? ?????? ??????,Positive
117,???? ???? ?? ?????? ?? ??????? ???????,Positive
118,???? ????,Negative
119,???? ???? ???? ????,Positive
120,???? ????? ?? ?? ??? ????? ?? ?? ??? ????? ????,Negative
121,???? ???? ?? ???? ???? ?? ?? ?? ?? ???? ???? ???? ???,Positive
122,???? ?? ?? ???? ??? ????? ???? ??? ??? ??????? ?? ?????,Negative
123,???? ????? ????? ???? ??? ??????? ????? ????????,Positive
124,"??????? ????? ???????: ?????? ?? ????????? ????? ?????? ??????? ?????? ????? ?? ??? ??? ?????? ???? ???? ??? ????? ?????? ??????? ??????",Negative
125,??? ???? ???? ??? ?????? ??? ??? ?????,Negative
126,??? ???? ?? ???? ???? ??????? ?? ?????? ???? ???? ?????? ???? ????? ??????? ?????????? ??? ??? ????? ?? ?????,Negative
127,????????? ???? ???? ???? ????,Positive
128,??????? ????? ??? ????? ??????? ?? ????? ????? ???? ?????,Positive
129,?????? ??? ???? ???? ????? ?????? ?? ??????? ? ????? ? ??????? ? ????????? ... ?????? ??? ????? ??????? ?????? ?? ???? ???? ???,Negative
130,?????? ???? ???? ?? ?? ???????.. ????? ? ????? ? ????,Positive
131,?????? ?? ????? ?? ??????? ?????? ?? ????? ?? ????? ?? ????? ????????? ??????? ????? ??? ????? ??? ?????? ??????? ?? ??? ?????? ????? ???? ?? ????? ????? ???? ???? ?????? ????? ????? ????????? ?????? ?? ??????? ?? ????? ??????? ????? ????? ????? ?????? ?? ?????? ???? ????? ?????? ??????? ???? ?????? ????? ????? ?? ???? ????? ???????? ????? ??? ?? ?? ???? ?????? ?? ?????? ???? ????? ??????? ?????? ?? ???? ?? ??? ??? ????? ???? ??????? ?? ?????????? ????? ????? ?????? ???? ????? ???? ?????? ??? ??? ??? ?????? ????? ?? ??? ???? ?? ?????? ????? ?????? ??? ????? ???? ???????? ??????,Negative
132,?????? ???? ?????? ?? ???? ????? ??????? ??????? ???????? ??? ?????????? ????? ?????? ?????? ?????? ??????,Positive
133,?????? ??? ??? ??? ??? ??????? ???? ????? ?????? ??????? ?? ??????? ?????? ??? ????? ?? ??????? ???? ????? ?! ?? ????? ????? ????????? ?!,Negative
134,??????? ???? ????? ?? ????? ???? ???? ??? ????? ???? ?????,Positive
135,?????  ???? ?? ??? ????? ???????? ,Negative
136,??????? ???? ????? ?? ??? ???? ?? ???? ????? ?????? ????,Positive
137,??????? ?? ??? ????? ??? ???? ??? ?????? ??? ???? ???? ??? ??? ????? ??? ???? ?????,Positive
138,?????????? ??? ???????? ???????? ... ????? ?? ???? ?? ?????,Negative
139,????? ???? ???? ????,Positive
140,???????? ?? ???? ???????,Negative
141,????? ???? ?????? ?? ????? ????? ?????? ?? ???????,Positive
142,???????? ????? ?????,Negative
143,???????? ??? ??? ???? ???? ??? ????? ?? ????,Negative
144,???????? ???? ???,Negative
145,?????? ?? ?? ????? ??????,Positive
146,?????? ?? ?????? ????,Negative
147,??????? ??? ?? ???????? ???? ??????? ??????? ????? ???? ????,Negative
148,????? ???? ??? ??? ????? ????? ???? ?????? ???? ?????? ???????,Positive
149,?????? ???? ??? ???? ??? ?? ?????? ?????? ???????? ??????? ?????? ?????? ???????,Negative
150,????????? ????? ??????? ?????? ???? ?????????? ??? ???? ?????? ??? ??? ???????,Negative
151,??????? ??? ?? ?????? ?? ????? ???? ???? ?? ??? ???????? ?? ???? ????? ????????,Positive
152,?????? ?????? ???? ???? ????? ?????? ,Positive
153,????? ????? ?? ????? ????? ?????? ?? ???? ????? ??? ?? ?????,Positive
154,"?????? : ??? ??? ???? ???? ?? ?? ??? ?????? ? ??? ????? ? ???? ???? ? ????? ????? ? ???? ????",Positive
155,"????? ??? ????? ??????? , ????? ???? ??????? ?? ???? ?????",Positive
156,????? ??? ????? ?????? ???? ?? ????? ????? ???????? ?????? ??? ??? ?????? ???? ?????? ???????,Negative
157,???? ???? ??? ??? ???? ???? ??? ??? ???? ????? ???? ?? ??? ?? ?? ???? ?? ???? ????? ????? ?? ??????,Positive
158,???? ??????? ???? ????? ???? ??? ???? ????? ?? ???? ?????,Positive
159,???? ??? ??????? ???? ????? ???????,Positive
160,???? ?? ???? ??? ???? ???,Positive
161,?????? ????? ?? ????? ??? ????? ?????? ???? ?????? ???? ??????,Negative
162,???? ??????? ???? ??? ??????? ???? ???? ?????? ???? ??? ?????? ??? ?? ??? ?? ,Negative
163,???? ?? ??? ???? ??????? ???? ??? ??????? ?????????,Negative
164,????? ???  ,Negative
165,??????? ????? ????? ?????? ?????? ????? ???? ????? ????,Negative
166,???? ?????? ?? ???? ?????? ???????,Positive
167,???? ?????? ?? ????? ?? ???? ????? ??? ???? ???? ????? ?????? ??? ???? ?????,Positive
168,?????? ??? ? ?????? ??? ?????? ????,Positive
169,????? ???? ??? ??????? ?? ?? ???? ?? ?? ??? ??? ????? ??? ?? ???? ?? ????? ??????? ?????,Positive
170,????? ??? ??????? ??? ?? ?? ???? ????? ??? ??? ??? ?????,Positive
171,????? ??? ???? ??? ???? ?????? ?? ???,Positive
172,????? ??? ?????? ???? ????? ?????? ? ????? ????? ?????? ????? ???????? ?? ??????,Positive
173,????? ??? ????? ??? ????? ??? ???? ????? ????? ???,Positive
174,????? ??? ???? ?? ????? ??? ???? ????,Positive
175,????? ??? ???? ?????? ??? ???????? ???? ??? ?????,Positive
176,????? ??? ???? ????? ????????,Positive
177,????? ??? ???? ????? ???? ????,Positive
178,????? ??? ?? ???????? ??? ???? ???,Positive
179,????? ??? ??? ???? ??????? ???? ??? ????,Positive
180,????? ??? ??? ???? ???? ?? ???? ????? ??? ???? ???? ????? ????? ??? ???? ?? ????? ????? ??? ?????? ??????,Positive
181,????? ??? ??? ???? ????? ? ??? ????? ? ???? ?????,Positive
182,????? ??? ???? ??? ??? ?????? ??? ?????? ?? ????,Positive
183,????? ??? ?? ????? ?? ????,Positive
184,????? ??? ???? ?? ???? ?? ??? ????? ????????,Positive
185,???????? ???? ????? ???? ??? ??? ?????? ??? ?? ????? ???? . ? ??? ?? ???? ???? ???? ????,Positive
186,???????? ???? ?????? ????? ?? ??????? ?????? ???????? ???,Positive
187,???????? ??? ??????? ??????? ?? .. ???? ?????? ??????? ?? ??? ????,Positive
188,"???????? ??? ?? ???? ?????? ?????? ??????? ????",Positive
189,???????? ?? ?? ??? ???? ??? ??? ?? ?? ???? ????? ????? ?????? ??? ???? ??????? ?? ??? ?????? ????? ????? ?? ?????,Positive
190,???????? ????? ?????? ?? ????????? ????? ?????????,Positive
191,?????? ?????? ???? ???? ?? ????,Negative
192,?????? ????? ???? ?? ???? ???? ????? ??? ????? ???? ???? ??? ?????? ???? ????? ????? ??? ???????? ??? ??????,Positive
193,?????? ??? ??? ????? ?? ??????,Positive
194,?????? ?? ??????? ??????? ??????? ???????? ???? ?????? ??????? ??????? ?????? ?????? ???????,Positive
195,????? ??? ????? ??????,Positive
196,?????? ?? ??????? ?? ???? ???? ???? ???????? ??????? ???????,Positive
197,????? ???????? ???? ???? ??????? ?????? ???????? ????? ??? ???? ???? ??? ????? ??? ?????? ???????? ???? ???? ????? ?? ????? ????? ????? ???? ???? ????? ????? ???? ??? ???? ??????? ?????? ?????? ??? ??? ??? ?? ??????? ??? ?????? ?????? ???? ?? ???? ??????????? ??? ????? ?? ??? ????? ?? ??? ????? ??????? ?????? ?????????? ?????? ??????? ???????? ??? ?????? ???????? ??????? ?????? ?? ???? ??????,Negative
198,????? ????? ?? ????? ???? ??????? ?? ????? ?????? ????? ??? ?? ???? ?????? ?? ???????? !,Positive
199,????? ??? ???????? ????? ???????? ???? ???? ??????? ??????? ??????? ??????,Positive
200,???? ???? ???? ?? ???? ?? ????? ??? ???? ????,Positive
201,?????? ????? ??? ???? ????? ???? ????? ?? ???? ???????,Negative
202,?????? ???? ????? ??? ????? ?????,Positive
203,????? ? ????? ????? ?? ????,Positive
204,????? ????? ?????? ???????,Negative
205,????? ???? ????? ????? ? ????,Positive
206,?????? ????? ??????? ??? ?? ???? ?? ????? ??? ?????? ??????? ???? ?? ???? ?? ????? ??? ?? ???? ??? ????? ?? ???????,Negative
207,????? ??? ?????? ??? ?????,Negative
208,????? ???? ????? ???? ????? ???? ????? ?????? ???? ?? ??? ???? 50 ????? ???? ?? ??? ??? ???,Negative
209,???? ???? ???? ??????? ??? ??????? ?? ?????? ???????,Negative
210,?????? ????? ????? ??? ???? ?? ??? ????,Positive
211,"?????? ??????? ??? ????? ?? ??????? ? ???? ??? ?? ????? ??????? ???? ??????? ????? ????.",Negative
212,?????? ??????? ?? ?????? ????? ?????? ???????,Negative
213,?????? ??? ????? ???????? ??????? ??,Negative
214,?????? ????? ?????? ????? ??? ?? ??? ?????? ???????,Negative
215,?????? ???? ???? ?? ????? ?????? ???????,Negative
216,?????? ?????? ????? ?????,Negative
217,??????? ???? ????? ????? ???? ???? ????,Negative
218,?????? ??? ??????? ??? ????? ??? ??????? ????? ?????? ??????,Negative
219,????? ?? ???? ?? ??????? ???? ??? ?????? ???? ?????? ?? ??????? ?????? ??????? ???? ??? ?????? ????????? ???? ??? ?? ??????,Negative
220,????? ?? ??? ????,Negative
221,???????? ?? ?????? ?? ????? ??? ???? ????? ???????? ????? ??????? ??? ??? ????? ????? ????? ?????? ???? ??????? ???? ???? ??? ????? ??,Negative
222,?????? ????,Negative
223,"????? ??? ??????? ????? ??????? ?????????????? ???? ????? ??????? ?????? ?????? ??????? ??? ??????? ?? ????: ???? ?? ????? ????? ??? ??????",Negative
224,????? ?? ?? ????????? ????? ?? ??? ???????? ??????? ???? ?? ????? ??? ?? ??????? ??? ?? ????? ??????,Negative
225,?????? ??? ?? ????? ??? ??? ?? ??? ????? ??????,Negative
226,??? ??? ????? ?????? ????? ??????,Positive
227,??? ????? ???? ????? ?????? ?? ?????? ???????? ??????? ?? ??????,Positive
228,??????? ??? ????? ???????,Negative
229,?????? ?? ???? ???? ??? ??? ???? ????,Negative
230,??????? ???? ?? ???????? ????? ??? ????? ???? ???? ????? ????? ?????? ?? ?? ?????? ????? ?? ????????? ?? ??????? ?? ?????,Negative
231,???? ???? ???? ??? ??????,Negative
232,????? ????? ?????? ??????,Negative
233,?????? ?????? ??? ?? ???????,Positive
234,????? ???? ???? ?????  ?? ???? ????  ???? ???? ??? ????? ????? .. ??????? ..,Positive
235,??? ??? ?? ????,Negative
236,??????? ??? ?? ???,Positive
237,??????? ?? ?????,Negative
238,????? ?? ???? ??? ????????,Positive
239,???? ???? ?????? ??????? ?? ????? ????? ?????? ?????,Positive
240,???? ????? ??? ???? ??? ???? ??? ???? ????? ??? ??? ??????? ????? ?? ???,Positive
241,???? ???? ?? ???? ??? ??????,Negative
242,???? ???? ?? ?????? ??? ??????,Positive
243,???? ???? ?? ?? ????? ??? ??? ???? ????,Positive
244,???? ???? ?????? ??????,Positive
245,???? ???? ???? ????? ??? ???? ???? ??? ???? ?????,Positive
246,???? ???? ???????? ????? ???? ??? ?????? ?????? ???? ??? ???? ????????,Positive
247,???? ?????? ??????,Positive
248,???? ???? ???? ????? ?? ????? ????????? ?? ????? ?????? ???????? ?? ?????? ??? ???????? ???????? ?? ?????? ?? ??? ??? ????? ??????? ??? ??,Positive
249,???? ???? ??? ????? ??????? ????? ???? ????,Positive
250,???? ???? ???? ?? ????? ??? ???? ???? ?? ???? ???? ???? ???? ??? ???? ????,Positive
251,???? ???????? ??? ?? ???? ???? ????? ???? ??? ?? ???? ?? ??? ??? ??? ??? ?????,Positive
252,???? ??? ?????? ?? ?????? ???,Positive
253,???? ??? ??? ??????? ?????? ??? ?? ????,Negative
254,???? ???? ??????? ????? ??????,Positive
255,???? ???? ?? ?????? ???? ???? ? ?? ????? ?????? ????? ????? ???? ????? ??????? ?????? ???????,Positive
256,???? ??? ????????,Negative
257,???? ??? ?????? ?? ?? ?????,Positive
258,???? ??? ???? ??????,Positive
259,???? ???? ??? ??? ?????? ???? ????? ???? ???????? ????? ???? ????????,Positive
260,???? ???? ?? ??? ????,Positive
261,???? ??? ???????? ?? ?????? ????????,Positive
262,???? ?? ???? ??? ?? ??????? ??????? ??????? ???????,Positive
263,???? ?? ???? ????? ?? ???? ????? ???? ??? ????? ??? ???? ?????? ??? ??? ???????,Negative
264,???? ?? ????? ?? ????? ???? ???? ???????,Negative
265,???? ?? ?????? ?? ??????,Negative
266,???? ?? ?????? ?? ???? ????? ???? ??? ????? ??????? ?? ???? ???????? ???? ??? ??????????,Negative
267,???? ?? ???? ??????? ??? ????? ??????? ????????,Negative
268,???? ?? ?????? ??? ???? ??? ?? ?????,Positive
269,???? ?? ?????? ?? ?????? ?????? ?? ?????,Positive
270,???? ????? ????? ??? ????? ??? ???? ????? ???? ??? ???????,Negative
271,???? ?? ??? ??? ?? ??? ?????,Positive
272,???? ????? ???? ?? ????? ??? ?? ????? ??,Positive
273,???? ????? ??? ???? ???? ?? ?????? ???? ??? ?? ????????? ??? ??? ???? ?????? ????,Positive
274,???? ????? ??? ?? ??????,Positive
275,???? ????? ??????,Positive
276,???? ???? ????? ?????? ?? ??,Positive
277,???? ???? ???? ??? ????? ???????,Positive
278,???? ????? ???? ??????,Positive
279,???? ????? ?? ?? ??????? ??? ????,Positive
280,???? ???? ???? ???? ?? ??? ????? ??? ????? ??????? ??? ?????,Negative
281,???? ???? ????? ?? ?? ???? ????? ?????? ??????? ???? ????? ????? ?????? ??? ????? ????? ?? ????? ????? ??????? ???? ???????,Positive
282,???? ?????,Negative
283,???? ?????? ??? ??? ????? ???? ???? ??? ???? ??? ????? ?????? ??? ?????? ????? ????? ?? ??? ?? ????? ????? ???? ???? ????? ???,Negative
284,"???? ???? ????? ?? ? ???? ?? ??? ???? ?? ????? ??? ??? ???? ?? ????? !!",Negative
285,???? ???? ?????? ?? ???????? ?????????? ??? ??? ????? ?? ???? ???????,Positive
286,???? ?????? ??????,Positive
287,???? ?????? ?? ????? ?? ??,Positive
288,???? ?????? ??? ???? ??? ??????? ????? ??? ??? ????? ??? ?? ???,Negative
289,???? ????? ?? ????? ?? ????? ?? ?????,Positive
290,???? ?????? ?????? ???????? ???,Negative
291,???? ???? ??? ???? ???????? ?????,Positive
292,???? ???? ?? ????? ???? ?? ??,Positive
293,???? ????? ???? ??? ?? ??,Positive
294,???? ?????? ?????? ?? ?? ??? ????? ??? ??? ??????,Positive
295,???? ????? ?????,Positive
296,???? ????? ????? ???????,Positive
297,???? ???? ???? ????? ??? ????????? ??? ???,Positive
298,???? ???? ???? ??????? ?? ????????,Negative
299,???? ???? ?? ?????? ????,Positive
300,???? ???? ???????,Positive
301,???? ???? ?? ??? ?????? ?????? ??????? ??? ????? ???? ????,Negative
302,???? ???? ??? ????? ?????? ?? ??????? ?? ??????,Negative
303,???? ???? ?? ??? ???,Negative
304,???? ???? ??? ?? ?? ?????,Negative
305,???? ?????,Negative
306,???? ?????? ?? ????? ?????? ???? ?? ???? ????? ?? ????? ?? ?????? ??? ??? ???,Negative
307,???? ????? ??? ???? ????? ??????? ????? ???? ????,Negative
308,???? ????? ???? ?????? ???? ?? ????,Negative
309,???? ???? ???????? ???????? ??? ?????,Positive
310,???? ???? ?????? ???????,Positive
311,???? ???? ?????? ??? ???? ??? ?? ??? ????? ??? ???? ?????? ????? ?????? ?? ????,Positive
312,???? ??????,Negative
313,???? ?????? ????? ?????? ?????? ???? ???? ?????  ???? ,Positive
314,????? ???? ??? ????? ?????? ?????? ??? ????? ?? ???? ????????,Positive
315,????? ??? ????? ????? ???????,Positive
316,????? ???? ?????? ??? ?? ??? ???? ???? ??? ???? ?????,Positive
317,????? ???? ??? ?????? ????? ???? ????? ???? ?????,Positive
318,????? ?????? ????? ?????? ?????? ?? ??????? ?? ???????,Positive
319,????? ?????? ??? ???? ????? ??? ?????? ?????? ?? ????? ???????? ???????? ???????? ???? ????? ?????? ??? ??? ?????? ????? ??????? ?? ??,Positive
320,????? ?????? ??? ?????? ????????,Positive
321,????? ?????? ??? ???? ??????? ???,Positive
322,????? ?????? ?? ?????? ?????? ?? ????? ??? ??????,Positive
323,????? ?????? ?? ??????? ???? ? ????? ? ??? ?????? ?? ?????? ?????? ????? ?? ??? ???????,Positive
324,????? ?????? ???? ??????? ?????? ??????? ????? ?????,Positive
325,????? ?????? ???? ??? ????? ???? ?? ?? ?? ??????,Positive
326,????? ?????? ???? ?????? ?? ?????,Positive
327,????? ?????? ?? ????? ?? ???????,Positive
328,????? ???? ?????? ??????? ???? ?? ??????? ????,Positive
329,????? ?????? ????? ???? ???? ?? ??? ??? ??,Positive
330,????? ????? ?????? ??? ??????? ???? ???? ?? ??? ??? ????,Positive
331,????? ????? ??? ????? ????? ????,Positive
332,????? ???? ????? ???????? ????? ?????? ????? ???????? ????? ??????,Positive
333,????? ?????? ??????? ?? ????? ????? ?? ???? ????? ?? ?????? ????? ?? ??????? ????? ??? ????????,Positive
334,????? ?????? ??????? ??????? ?? ????? ??????,Positive
335,????? ?????? ?????? ???????,Positive
336,????? ?????? ????? ???????,Positive
337,????? ?????? ????? ?? ??? ??????? ???????? ?? ??? ????? ????? ??? ?????? ????? ?????? ?? ????,Positive
338,????? ?????? ????? ?????? ?????? ??????? ?????? ?? ???? ??? ???????,Positive
339,????? ?????? ?? ???? ?????,Positive
340,????? ?????? ???? ????? ????? ?? ?? ?????,Positive
341,????? ?????? ??? ??????? ???? ????????,Positive
342,????? ?????? ??? ???? ?????? ??????? ????? ???? ???? ???? ???? ????? ?????? ?????,Positive
343,????? ?????? ?? ???? ?????? ?????? ?????? ??? ??????? ?????? ??????? ?????? ?? ?? ??? ?????? ??? ????? ??? ???? ??????,Positive
344,????? ?????? ????? ?????,Positive
345,????? ?????? ??? ?? ?? ???? ?? ??? ?????? ????,Positive
346,????? ?????? ??? ???? ??????,Positive
347,????? ????? ??? ????? ???,Positive
348,????? ????? ? ???? ?????,Positive
349,????? ???? ???? ??? ?????? ?????? ???? ?????? ????? ?????? ???????,Positive
350,????? ???? ???? ???? ???? ????? ???? ??????,Negative
351,????? ???????? ?? ?????,Positive
352,????? ?????? ????? ???? ????????,Positive
353,????? ?????? ??? ??? ????? ? ?? ???? ? ???? ??? ????? ???? ? ?????,Positive
354,????? ???? ??? ???????? ?????? ?? ???????? ??? ???? ??? ??? ??? ???? ?? ???? ??????? ???? ???????,Positive
355,????? ???? ????? ?????? ??? ????? ??? ??? ??????,Positive
356,????? ???? ???? ?????? ??? ???? ???? ???? ????? ????? ???? ???? ????? ????? ?????? ??? ??? ???? ?? ?????,Positive
357,????? ???? ?????? ??? ????? ????,Positive
358,????? ??? ????????,Positive
359,????? ?????? ?? ??????,Positive
360,????? ???? ??? ?? ?? ?? ????,Positive
361,????? ???? ??? ?????? ?????? ??? ?????? ????? ?????? ????,Positive
362,????? ???? ??? ???? ????? ???? ??????,Positive
363,????? ???? ??? ??? ??????? ??? ?? ??? ????,Positive
364,????? ???? ??? ???? ???? ??? ??????,Positive
365,????? ???? ??? ??? ??? ?????? ?????? ????? ??????,Positive
366,????? ???? ?? ??? ?? ????? ?? ???? ?? ?????,Positive
367,????? ???? ?? ???? ???????? ??????,Positive
368,????? ???? ?? ?? ?? ?????? ?????? ???? ??? ?????,Positive
369,????? ????? ?????? ?? ????? ????? ????? ??? ????,Positive
370,????? ???? ?? ?????? ?? ????? ???????? ????? ?????? ?? ???? ?????? ?????? ?????????,Positive
371,????? ?????? ?????,Positive
372,????? ????? ?????? ?? ????? ?????? ????? ??? ???? ?? ??,Positive
373,????? ?????? ??????,Positive
374,????? ????? ???? ????,Positive
375,????? ?? ??? ???? ????? ????? ?? ?? ??? ????? ????? ?? ??? ??? ????? ????? ?? ???,Positive
